image_name,steering_angle
2025-06-15_14-13-28-211333.png,0.0
2025-06-15_14-13-28-486412.png,0.0
2025-06-15_14-13-28-704421.png,0.0
2025-06-15_14-13-28-973281.png,0.0
2025-06-15_14-13-29-250205.png,0.0
2025-06-15_14-13-29-485871.png,0.0
2025-06-15_14-13-29-683322.png,0.0
2025-06-15_14-13-30-096270.png,0.0
2025-06-15_14-13-30-298376.png,0.0
2025-06-15_14-13-30-540083.png,0.0
2025-06-15_14-13-30-800292.png,0.0
2025-06-15_14-13-31-038619.png,0.0
2025-06-15_14-13-31-251580.png,0.0
2025-06-15_14-13-31-490166.png,0.0
2025-06-15_14-13-31-762346.png,0.0
2025-06-15_14-13-32-037158.png,0.0
2025-06-15_14-13-32-273322.png,0.0
2025-06-15_14-13-32-528936.png,0.0
2025-06-15_14-13-32-800105.png,0.0
2025-06-15_14-13-33-071837.png,0.0
2025-06-15_14-13-33-339283.png,0.0
2025-06-15_14-13-33-614356.png,0.0
2025-06-15_14-13-33-904248.png,0.0
2025-06-15_14-13-34-133868.png,0.0
2025-06-15_14-13-34-361044.png,0.0
2025-06-15_14-13-34-642167.png,0.0
2025-06-15_14-13-34-923049.png,0.0
2025-06-15_14-13-35-204328.png,0.0
2025-06-15_14-13-35-483160.png,0.0
2025-06-15_14-13-35-760147.png,0.0
2025-06-15_14-13-35-964352.png,0.0
2025-06-15_14-13-36-217144.png,0.0
2025-06-15_14-13-36-476007.png,0.0
2025-06-15_14-13-36-724387.png,0.0
2025-06-15_14-13-36-983182.png,0.0
2025-06-15_14-13-37-189096.png,0.0
2025-06-15_14-13-37-449461.png,0.0
2025-06-15_14-13-37-713905.png,0.0
2025-06-15_14-13-37-981955.png,0.0
2025-06-15_14-13-38-254137.png,0.0
2025-06-15_14-13-38-497806.png,0.0
2025-06-15_14-13-38-724858.png,0.0
2025-06-15_14-13-38-990293.png,0.0
2025-06-15_14-13-39-264516.png,0.0
2025-06-15_14-13-39-541138.png,0.0
2025-06-15_14-13-39-855181.png,0.0
2025-06-15_14-13-40-131208.png,0.0
2025-06-15_14-13-40-381218.png,0.0
